motor,date,row_count,diff,first_value,last_value,delta_t,diff_rate,fname
TORAY_P1730A,2024-06-05,23524,3479.8912847222205,0.0,,23.998055555555556,145.00721846677385,2024-06-05_000001_to_2024-06-05_235957
TORAY_P1730A,2024-06-07,23513,18541.187847222216,0.0,,23.9975,772.6299759234178,2024-06-07_000002_to_2024-06-07_235956
TORAY_P1730A,2024-06-13,23521,10868.213437500002,0.0,,23.998333333333335,452.87367612334197,2024-06-13_000002_to_2024-06-13_235959
TORAY_P1730A,2024-07-01,23534,8145.373298611118,0.0,,23.998333333333335,339.4141245341114,2024-07-01_000001_to_2024-07-01_235959
TORAY_P1730A,2024-07-07,23493,10114.18572916667,0.0,,23.997777777777777,421.46342977359024,2024-07-07_000002_to_2024-07-07_235957
TORAY_P1730A,2024-07-14,23534,8715.21194444445,0.0,,23.9975,363.1716613999146,2024-07-14_000003_to_2024-07-14_235957
TORAY_P1730A,2024-07-23,23546,9468.174236111114,0.0,,23.99861111111111,394.530091440477,2024-07-23_000001_to_2024-07-23_235959
TORAY_P1730A,2024-07-28,23464,11313.5945138889,0.0,,23.9975,471.4488806704407,2024-07-28_000003_to_2024-07-28_235957
TORAY_P1730A,2024-08-03,23473,10418.68982638887,0.0,,23.997222222222224,434.1623263687919,2024-08-03_000003_to_2024-08-03_235957
TORAY_P1730A,2024-08-10,23452,7050.8371875000075,0.0,,23.9975,293.8154885925621,2024-08-10_000002_to_2024-08-10_235957
TORAY_P1730A,2024-08-17,23459,11343.900208333327,0.0,,23.997777777777777,472.7062777803498,2024-08-17_000002_to_2024-08-17_235958
TORAY_P1730A,2024-08-25,23512,7794.962916666651,0.0,,23.997777777777777,324.8201974719875,2024-08-25_000003_to_2024-08-25_235958
TORAY_P1730A,2024-09-08,23507,11055.75625000001,0.0,,23.998055555555556,460.6938351486814,2024-09-08_000002_to_2024-09-08_235959
TORAY_P1730A,2024-09-15,23510,8790.884895833338,0.0,,23.998333333333335,366.3123090145151,2024-09-15_000002_to_2024-09-15_235959
TORAY_P1730A,2024-09-17,23482,1827.4284722222214,0.0,,23.998055555555556,76.14902249024802,2024-09-17_000000_to_2024-09-17_235956
TORAY_P1730A,2024-12-02,23434,10197.785312499993,0.0,,23.9975,424.95198718616496,2024-12-02_000002_to_2024-12-02_235956
TORAY_P1730A,2024-12-10,23394,20790.229479166654,0.0,,23.998055555555556,866.3297503848686,2024-12-10_000002_to_2024-12-10_235958
TORAY_P1730A,2024-12-25,23426,14847.606840277795,0.0,,23.9975,618.7147344630814,2024-12-25_000002_to_2024-12-25_235957
TORAY_P1730B,2024-06-07,23512,8146.769965277768,0.0,,23.9975,339.4841114815197,2024-06-07_000002_to_2024-06-07_235956
TORAY_P1730B,2024-06-16,23502,14122.26555555556,0.0,,23.997222222222224,588.4958444264383,2024-06-16_000003_to_2024-06-16_235957
TORAY_P1730B,2024-06-21,23519,13045.33684027778,0.0,,23.99888888888889,543.5808674591417,2024-06-21_000000_to_2024-06-21_235959
TORAY_P1730B,2024-06-27,23528,8085.252708333347,0.0,,23.997777777777777,336.91672550699195,2024-06-27_000002_to_2024-06-27_235958
TORAY_P1730B,2024-09-04,23529,7303.660277777775,0.0,,23.99861111111111,304.336790323514,2024-09-04_000001_to_2024-09-04_235959
TORAY_P1730B,2024-09-24,23447,11502.626527777787,0.0,,23.9975,479.3260351193994,2024-09-24_000002_to_2024-09-24_235956
TORAY_P1730B,2024-12-16,23381,14864.79982638889,0.0,,23.997222222222224,619.4383536867692,2024-12-16_000003_to_2024-12-16_235957
TORAY_P1730B,2025-01-01,23361,10980.802604166682,0.0,,23.998333333333335,457.5652172025841,2025-01-01_000000_to_2025-01-01_235957
TORAY_P1730B,2025-01-06,23419,7182.098645833332,0.0,,23.998055555555556,299.2783573321912,2025-01-06_000002_to_2025-01-06_235958
TORAY_P1730B,2025-01-12,23452,11980.25996527778,0.0,,23.998055555555556,499.2179444515182,2025-01-12_000000_to_2025-01-12_235956
TORAY_P1730B,2025-01-19,23446,7054.535451388876,0.0,,23.99861111111111,293.95598848312926,2025-01-19_000000_to_2025-01-19_235958
TORAY_P1730B,2025-01-26,23430,9903.705486111125,0.0,,23.997777777777777,412.6926075331055,2025-01-26_000002_to_2025-01-26_235957
TORAY_P7412A_EXT,2024-12-04,23054,135227.88881944443,4.549375,,23.997222222222224,5635.147583632364,2024-12-04_000003_to_2024-12-04_235956
TORAY_P7412A_EXT,2024-12-05,23044,138231.82604166592,4.544166666666667,,23.998055555555556,5760.126095285466,2024-12-05_000000_to_2024-12-05_235957
TORAY_P7412A_EXT,2024-12-06,23062,136220.79336805586,6.208194444444445,,23.998333333333335,5676.26057509782,2024-12-06_000000_to_2024-12-06_235958
TORAY_P7412A_EXT,2024-12-07,23055,135407.55013888841,6.175138888888889,,23.998333333333335,5642.37308725141,2024-12-07_000001_to_2024-12-07_235959
TORAY_P7412A_EXT,2024-12-08,23046,136729.83197916643,6.185416666666667,,23.998333333333335,5697.471990242368,2024-12-08_000002_to_2024-12-08_235959
TORAY_P7412A_EXT,2024-12-09,23052,134347.353159722,5.043854166666667,,23.997222222222224,5598.454350908661,2024-12-09_000003_to_2024-12-09_235956
TORAY_P7412A_EXT,2024-12-10,23041,134012.86343750008,4.571354166666667,,23.998055555555556,5584.321743370415,2024-12-10_000000_to_2024-12-10_235957
TORAY_P7412A_EXT,2024-12-11,22988,136984.2917013887,6.629583333333334,,23.998333333333335,5708.075215003348,2024-12-11_000000_to_2024-12-11_235957
TORAY_P7412A_EXT,2024-12-12,23154,137269.2986111104,4.588541666666667,,23.997777777777777,5720.083746180172,2024-12-12_000001_to_2024-12-12_235956
TORAY_P7412A_EXT,2024-12-13,23165,140441.48833333424,4.930416666666667,,23.99888888888889,5851.999606463301,2024-12-13_000000_to_2024-12-13_235959
TORAY_P7412A_EXT,2024-12-14,23415,136853.93614583308,4.995729166666667,,23.9975,5702.841385387356,2024-12-14_000003_to_2024-12-14_235957
TORAY_P7412A_EXT,2024-12-15,23460,134017.64309027747,4.945625000000001,,23.99861111111111,5584.391632906984,2024-12-15_000001_to_2024-12-15_235959
TORAY_P7412A_EXT,2024-12-16,23379,138290.61604166578,4.9821875,,23.998055555555556,5762.575877096487,2024-12-16_000003_to_2024-12-16_235959
TORAY_P7412A_EXT,2024-12-17,23441,136572.35718749944,5.281041666666667,,23.998055555555556,5690.975957253458,2024-12-17_000003_to_2024-12-17_235959
TORAY_P7412A_EXT,2024-12-18,23407,137355.05322916535,4.944583333333334,,23.9975,5723.72343907346,2024-12-18_000003_to_2024-12-18_235958
TORAY_P7412A_EXT,2024-12-19,23351,134904.83034722312,4.9461458333333335,,23.998333333333335,5621.424974535305,2024-12-19_000001_to_2024-12-19_235958
TORAY_P7412A_EXT,2024-12-20,23442,134758.56850694443,6.074027777777777,,23.997777777777777,5615.460304484211,2024-12-20_000001_to_2024-12-20_235956
TORAY_P7412A_EXT,2024-12-21,23352,134623.2347222223,5.256875,,23.998333333333335,5609.691008634862,2024-12-21_000000_to_2024-12-21_235957
TORAY_P7412A_EXT,2024-12-22,23442,134621.79479166665,4.6397916666666665,,23.998055555555556,5609.695938907086,2024-12-22_000001_to_2024-12-22_235957
TORAY_P7412A_EXT,2024-12-23,23370,136389.83503472165,4.61875,,23.998333333333335,5683.3044670347235,2024-12-23_000001_to_2024-12-23_235958
TORAY_P7412A_EXT,2024-12-24,23354,142108.81368055556,6.16375,,23.998333333333335,5921.611793064333,2024-12-24_000001_to_2024-12-24_235958
TORAY_P7412A_EXT,2024-12-25,23428,146651.9672916671,4.860729166666667,,23.997777777777777,6111.064476456171,2024-12-25_000002_to_2024-12-25_235958
TORAY_P7412A_EXT,2024-12-26,23418,142788.33163194451,6.990972222222222,,23.997777777777777,5950.064749918977,2024-12-26_000001_to_2024-12-26_235956
TORAY_P7412A_EXT,2024-12-27,23407,140698.76871527743,5.180416666666667,,23.998055555555556,5862.923701862404,2024-12-27_000000_to_2024-12-27_235957
TORAY_P7412A_EXT,2024-12-28,23437,139811.27611111093,5.1053125,,23.998333333333335,5825.874412574939,2024-12-28_000000_to_2024-12-28_235958
TORAY_P7412A_EXT,2024-12-29,23407,142610.69062499958,6.477222222222222,,23.997777777777777,5942.662355889417,2024-12-29_000001_to_2024-12-29_235956
TORAY_P7412A_EXT,2024-12-30,23432,62105.89475694464,5.1111458333333335,,23.99861111111111,2587.8953773366597,2024-12-30_000000_to_2024-12-30_235958
TORAY_P7412A_EXT,2025-01-08,23386,63675.00753472236,0.0,,23.997777777777777,2653.370996446436,2025-01-08_000001_to_2025-01-08_235957
TORAY_P7412A_EXT,2025-01-09,23434,144487.78420138996,5.219062500000001,,23.99861111111111,6020.672760287099,2025-01-09_000000_to_2025-01-09_235959
TORAY_P7412A_EXT,2025-01-10,23377,139737.74031249952,6.945,,23.9975,5823.012410146871,2025-01-10_000002_to_2025-01-10_235956
TORAY_P7412A_EXT,2025-01-11,23385,143069.777083333,4.916875,,23.99861111111111,5961.585710978631,2025-01-11_000000_to_2025-01-11_235958
TORAY_P7412A_EXT,2025-01-12,23437,142654.89979166616,4.88,,23.998055555555556,5944.43576736539,2025-01-12_000002_to_2025-01-12_235958
TORAY_P7412A_EXT,2025-01-13,23396,141988.36875000052,4.888229166666667,,23.998055555555556,5916.661390390446,2025-01-13_000002_to_2025-01-13_235958
TORAY_P7412A_EXT,2025-01-14,23379,143263.6144791666,5.488125,,23.9975,5969.939138625549,2025-01-14_000002_to_2025-01-14_235956
TORAY_P7412A_EXT,2025-01-15,23300,140618.40663194435,5.220416666666667,,23.99861111111111,5859.439364257188,2025-01-15_000000_to_2025-01-15_235959
TORAY_P7412A_EXT,2025-01-16,23167,142228.3589236118,6.4816666666666665,,23.997777777777777,5926.730393149858,2025-01-16_000002_to_2025-01-16_235957
TORAY_P7412A_EXT,2025-01-17,23191,143873.36777777833,5.203125,,23.997777777777777,5995.278775812599,2025-01-17_000001_to_2025-01-17_235957
TORAY_P7412A_EXT,2025-01-18,23175,141877.435520833,6.481944444444444,,23.998055555555556,5912.038797992879,2025-01-18_000000_to_2025-01-18_235957
