motor,date,row_count,diff,first_value,last_value,delta_t,diff_rate,fname
TORAY_P1730A,2024-06-05,23524,3489.5938,217286.2,220775.8,23.99888888888889,145.40648,2024-06-05_000001_to_2024-06-05_235957
TORAY_P1730A,2024-06-07,23513,19371.0,220775.8,240146.8,23.998333333333335,807.1811,2024-06-07_000002_to_2024-06-07_235956
TORAY_P1730A,2024-06-13,23521,11463.203,240146.8,251610.0,23.999166666666667,477.65005,2024-06-13_000002_to_2024-06-13_235959
TORAY_P1730A,2024-06-21,23520,44.90625,251610.0,251654.9,23.99972222222222,1.8711154,2024-06-21_000000_to_2024-06-21_235959
TORAY_P1730A,2024-07-01,23534,8414.0,251654.9,260068.9,23.999444444444446,350.59143,2024-07-01_000001_to_2024-07-01_235959
TORAY_P1730A,2024-07-07,23493,10425.0,260068.9,270493.9,23.99861111111111,434.40015,2024-07-07_000002_to_2024-07-07_235957
TORAY_P1730A,2024-07-14,23534,8942.906,270493.9,279436.8,23.998333333333335,372.64697,2024-07-14_000003_to_2024-07-14_235957
TORAY_P1730A,2024-07-15,23509,12.5,279436.8,279449.3,23.99888888888889,0.52085745,2024-07-15_000001_to_2024-07-15_235957
TORAY_P1730A,2024-07-23,23546,9930.1875,279449.3,289379.5,23.999444444444446,413.7674,2024-07-23_000001_to_2024-07-23_235959
TORAY_P1730A,2024-07-28,23464,11736.094,289379.5,301115.6,23.998333333333335,489.03787,2024-07-28_000003_to_2024-07-28_235957
TORAY_P1730A,2024-07-31,23501,35.3125,301115.6,301150.9,23.99888888888889,1.4714223,2024-07-31_000001_to_2024-07-31_235957
TORAY_P1730A,2024-08-03,23473,10646.406,301150.9,311797.3,23.998333333333335,443.63107,2024-08-03_000003_to_2024-08-03_235957
TORAY_P1730A,2024-08-06,23465,46.0,311797.3,311843.3,23.999166666666667,1.9167333,2024-08-06_000001_to_2024-08-06_235958
TORAY_P1730A,2024-08-07,23509,61.375,311843.3,311904.7,23.999444444444446,2.5573509,2024-08-07_000001_to_2024-08-07_235959
